profile_key,model_family,make,model_variants,aircraft_category,typical_engine_type,typical_engine_count,total_incidents,first_incident_year,last_incident_year,years_in_record,incidents_per_year,destroyed_count,substantial_count,minor_damage_count,pct_destroyed,pct_substantial,pct_minor,total_fatal_incidents,total_fatal_injuries,total_serious_injuries,total_minor_injuries,pct_fatal_incidents,avg_fatals_per_fatal_incident,imc_incidents,vmc_incidents,pct_imc,top_soe_group,top_finding,top_phase,kw_engine_failure_pct,kw_fuel_exhaustion_pct,kw_loss_of_control_pct,kw_weather_factor_pct,kw_mechanical_pct,kw_pilot_error_pct,kw_runway_excursion_pct,kw_fire_pct,kw_structural_pct,kw_bird_strike_pct,avg_severity_score_all_time,avg_severity_score_recent3yr,severity_trend,trend_delta,risk_score,risk_tier,risk_rationale,sample_probable_cause,sample_finding,gold_generated_at,incident_mkeys
11,AIRBUS A320,AIRBUS,A320,AIR,TF,,7,2025,2025,1,7.00,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.00,0,0,,Turbulence,,Approach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,4.14,Stable,0.00,100.00,High,Incidents: 7 | Fatals: 0 | Destroyed: 0 | Avg severity: 4.14 | Top cause: Turbulence | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,201805|201010|200901|200824|200361|200450|200491
12,AIRBUS A321,AIRBUS,A321,AIR,TF,2.0,4,2025,2026,2,2.00,0,0,0,0.0,0.0,0.0,0,0,1,1,0.0,0.00,0,0,,Other,,Enroute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,4.25,Stable,0.00,100.00,High,Incidents: 4 | Fatals: 0 | Destroyed: 0 | Avg severity: 4.25 | Top cause: Other | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202624|201992|201780|200729
13,EMBRAER ERJ170,EMBRAER,ERJ170,AIR,TF,2.0,2,2025,2025,1,2.00,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00,3.00,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 0 | Avg severity: 3.00 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202041|202043
14,CESSNA 188,CESSNA,188,AIR,,,2,2025,2025,1,2.00,1,1,0,50.0,50.0,0.0,1,1,0,0,50.0,1.00,0,0,,System/Component Failure (Powerplant),,Maneuvering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.00,19.00,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 1 | Destroyed: 1 | Avg severity: 19.00 | Top cause: System/Component Failure (Powerplant) | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,200694|200060
15,AMERICAN CHAMPION AIRCRAFT 8GCBC,AMERICAN CHAMPION AIRCRAFT,8GCBC,AIR,,,2,2025,2026,2,1.00,0,2,0,0.0,100.0,0.0,0,0,0,1,0.0,0.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.00,11.00,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 0 | Avg severity: 11.00 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202583|200970
16,AIR TRACTOR AT401,AIR TRACTOR,AT401,AIR,,,2,2025,2026,2,1.00,0,2,0,0.0,100.0,0.0,1,1,0,0,50.0,1.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.50,17.50,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 1 | Destroyed: 0 | Avg severity: 17.50 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202650|202005
17,AVIAT AIRCRAFT INC A-1C-200,AVIAT AIRCRAFT INC,A-1C-200,AIR,,,2,2025,2025,1,2.00,0,2,0,0.0,100.0,0.0,0,0,1,1,0.0,0.00,0,0,,Abnormal Runway Contact,,Landing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.00,13.00,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 0 | Avg severity: 13.00 | Top cause: Abnormal Runway Contact | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202199|202034
18,PIPER PA31,PIPER,PA31,AIR,REC,2.0,2,2025,2025,1,2.00,0,1,0,0.0,50.0,0.0,1,2,0,0,50.0,2.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.00,17.00,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 2 | Destroyed: 0 | Avg severity: 17.00 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,200660|200438
19,PIPER PA32,PIPER,PA32,AIR,REC,1.0,3,2025,2025,1,3.00,2,1,0,66.7,33.3,0.0,2,4,0,0,66.7,2.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.67,25.67,Stable,0.00,100.00,High,Incidents: 3 | Fatals: 4 | Destroyed: 2 | Avg severity: 25.67 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,201850|200713|199976
20,PIPER PA32RT,PIPER,PA32RT,AIR,,,2,2025,2025,1,2.00,0,2,0,0.0,100.0,0.0,0,0,0,0,0.0,0.00,0,0,,System/Component Failure (Powerplant),,Enroute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.00,9.00,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 0 | Avg severity: 9.00 | Top cause: System/Component Failure (Powerplant) | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202125|201972
21,"BOEING, BOEING 737,","BOEING, BOEING","737, 737, 737, 777","AIR, AIR",,,2,2025,2025,1,2.00,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 0 | Avg severity: 0.00 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,201039|200855
22,BOEING 787-9,BOEING,787-9,,,,2,2026,2026,1,2.00,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.00,4.00,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 0 | Avg severity: 4.00 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202721|202579
23,BOEING 787,BOEING,787,AIR,TF,2.0,7,2025,2025,1,7.00,0,0,1,0.0,0.0,14.3,0,0,1,0,0.0,0.00,0,0,,Fuel,,Enroute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,4.14,Stable,0.00,100.00,High,Incidents: 7 | Fatals: 0 | Destroyed: 0 | Avg severity: 4.14 | Top cause: Fuel | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202205|202023|200929|200945|200797|200315|200346
24,SIKORSKY S92,SIKORSKY,S92,HELI,,,2,2025,2026,2,1.00,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50,1.50,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 0 | Avg severity: 1.50 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202609|201909
25,BOEING 777,BOEING,777,AIR,TF,2.0,4,2025,2025,1,4.00,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50,1.50,Stable,0.00,100.00,High,Incidents: 4 | Fatals: 0 | Destroyed: 0 | Avg severity: 1.50 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,201982|201854|200402|200682
26,BOEING 747,BOEING,747,AIR,,,3,2025,2026,2,1.50,0,1,1,0.0,33.3,33.3,1,2,0,0,33.3,2.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,13.33,Stable,0.00,100.00,High,Incidents: 3 | Fatals: 2 | Destroyed: 0 | Avg severity: 13.33 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202636|202006|201888
27,BOEING 737-832,BOEING,737-832,AIR,TF,2.0,2,2025,2025,1,2.00,0,0,1,0.0,0.0,50.0,0,0,0,0,0.0,0.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.50,4.50,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 0 | Avg severity: 4.50 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,200979|200792
28,AIR TRACTOR AT802,AIR TRACTOR,AT802,AIR,TP,1.0,3,2025,2025,1,3.00,2,1,0,66.7,33.3,0.0,3,3,0,0,100.0,1.00,1,0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.00,28.00,Stable,0.00,64.14,High,Incidents: 3 | Fatals: 3 | Destroyed: 2 | Avg severity: 28.00 | Top cause: Unknown | Trend: Stable,The airplane’s impact with the ocean for undetermined reasons based on the available evidence.,Not determined - Not determined - (general) - (general) - Unknown/Not determined,2026-04-03 04:05:44.842659+00:00,202015|200974|200088
29,HUGHES 369D,HUGHES,369D,HELI,,,3,2025,2025,1,3.00,2,1,0,66.7,33.3,0.0,3,5,0,0,100.0,1.67,0,3,0.0,Loss of Control (Inflight),,Maneuvering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.33,31.33,Stable,0.00,55.31,High,Incidents: 3 | Fatals: 5 | Destroyed: 2 | Avg severity: 31.33 | Top cause: Loss of Control (Inflight) | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202111|200985|200732
30,BEECH 58,BEECH,58,AIR,,,2,2025,2025,1,2.00,2,0,0,100.0,0.0,0.0,1,2,0,0,50.0,2.00,1,0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00,23.00,Stable,0.00,54.55,High,Incidents: 2 | Fatals: 2 | Destroyed: 2 | Avg severity: 23.00 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,201726|200322
31,CESSNA 340,CESSNA,340,AIR,,,2,2025,2025,1,2.00,1,1,0,50.0,50.0,0.0,2,4,0,0,100.0,2.00,0,2,0.0,Other,,Landing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.50,32.50,Stable,0.00,50.38,High,Incidents: 2 | Fatals: 4 | Destroyed: 1 | Avg severity: 32.50 | Top cause: Other | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,201735|200880
32,CESSNA 310Q,CESSNA,310Q,AIR,,,2,2025,2025,1,2.00,1,1,0,50.0,50.0,0.0,2,2,0,0,100.0,1.00,0,2,0.0,Other,,Approach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.50,27.50,Stable,0.00,48.63,High,Incidents: 2 | Fatals: 2 | Destroyed: 1 | Avg severity: 27.50 | Top cause: Other | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,200847|199949
33,CIRRUS SR20,CIRRUS,SR20,AIR,REC,1.0,3,2025,2025,1,3.00,2,1,0,66.7,33.3,0.0,2,4,0,0,66.7,2.00,0,1,0.0,Ground Collision,Personnel issues Monitoring other aircraft - Pilot,Taxi,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,25.67,25.67,Stable,0.00,45.00,High,Incidents: 3 | Fatals: 4 | Destroyed: 2 | Avg severity: 25.67 | Top cause: Ground Collision | Trend: Stable,The flight instructor’s failure to maintain control of the airplane following the student pilot’s bounced landing. Contributing to the accident was the flight instructor’s delayed remedial action which resulted in diminished airplane performance during the go-around.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Yaw control - Not attained/maintained, Personnel issues - Action/decision - Action - Delayed action - Instructor/check pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Instructor/check pilot",2026-04-03 04:05:44.842659+00:00,202025|201758|202074
34,CESSNA 210L,CESSNA,210L,AIR,REC,1.0,2,2025,2025,1,2.00,1,1,0,50.0,50.0,0.0,1,2,0,0,50.0,2.00,1,0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.50,21.50,Stable,0.00,44.03,High,Incidents: 2 | Fatals: 2 | Destroyed: 1 | Avg severity: 21.50 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,200667|199955
35,CESSNA 650,CESSNA,650,AIR,,,3,2025,2025,1,3.00,1,1,1,33.3,33.3,33.3,1,10,0,0,33.3,10.00,1,0,100.0,Loss of Control (Inflight),,Approach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.67,29.67,Stable,0.00,41.37,High,Incidents: 3 | Fatals: 10 | Destroyed: 1 | Avg severity: 29.67 | Top cause: Loss of Control (Inflight) | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202166|200607|200896
36,MOONEY M20F,MOONEY,M20F,AIR,,,2,2025,2025,1,2.00,0,2,0,0.0,100.0,0.0,2,5,0,0,100.0,2.50,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.50,33.50,Stable,0.00,40.73,High,Incidents: 2 | Fatals: 5 | Destroyed: 0 | Avg severity: 33.50 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,200355|200001
37,CESSNA TU206,CESSNA,TU206,AIR,REC,1.0,5,2025,2025,1,5.00,1,4,0,20.0,80.0,0.0,3,11,0,1,60.0,3.67,0,2,0.0,Other,Personnel issues Decision making/judgment - Pilot,Enroute,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,28.60,28.60,Stable,0.00,39.01,Elevated,Incidents: 5 | Fatals: 11 | Destroyed: 1 | Avg severity: 28.60 | Top cause: Other | Trend: Stable,"The pilot’s decision to operate the airplane with a known deficiency of the floats, which resulted in an accumulation of water in the forward compartments of the floats, a forward center of gravity, and subsequent nose over during a water landing.","Aircraft - Aircraft systems - Landing gear system - Wheel/ski/float - Damaged/degraded, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot",2026-04-03 04:05:44.842659+00:00,202145|201984|201862|200849|200698
38,AIRBUS HELICOPTERS EC,AIRBUS HELICOPTERS,EC 130 T2,HELI,,,2,2025,2025,1,2.00,0,2,0,0.0,100.0,0.0,2,2,4,0,100.0,1.00,0,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.00,26.00,Stable,0.00,38.10,Elevated,Incidents: 2 | Fatals: 2 | Destroyed: 0 | Avg severity: 26.00 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,201974|201802
50,CIRRUS SR22,CIRRUS,SR22,AIR,REC,1.0,4,2025,2025,1,4.00,1,3,0,25.0,75.0,0.0,1,1,0,0,25.0,1.00,1,1,50.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.00,14.00,Stable,0.00,29.15,Elevated,Incidents: 4 | Fatals: 1 | Destroyed: 1 | Avg severity: 14.00 | Top cause: Unknown | Trend: Stable,The collision with a deer during takeoff.,"Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment",2026-04-03 04:05:44.842659+00:00,201906|201782|200653|200654
39,SOCATA TBM,SOCATA,TBM 700,AIR,TP,1.0,4,2025,2025,1,4.00,1,3,0,25.0,75.0,0.0,2,4,0,1,50.0,2.00,2,2,50.0,Loss of Control (Inflight),Aircraft Airspeed - Not attained/maintained,Approach,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,20.75,20.75,Stable,0.00,37.76,Elevated,Incidents: 4 | Fatals: 4 | Destroyed: 1 | Avg severity: 20.75 | Top cause: Loss of Control (Inflight) | Trend: Stable,"The pilot’s unstable approach to the runway, which resulted in an aerodynamic stall at low altitude and impact with terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained",2026-04-03 04:05:44.842659+00:00,202050|201836|201756|200769
40,RAYTHEON AIRCRAFT COMPANY G58,RAYTHEON AIRCRAFT COMPANY,G58,AIR,,,2,2025,2025,1,2.00,1,1,0,50.0,50.0,0.0,1,3,0,0,50.0,3.00,0,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.00,24.00,Stable,0.00,34.90,Elevated,Incidents: 2 | Fatals: 3 | Destroyed: 1 | Avg severity: 24.00 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,201903|200505
41,BEECH 35,BEECH,35,AIR,REC,1.0,2,2025,2025,1,2.00,1,1,0,50.0,50.0,0.0,1,1,2,0,50.0,1.00,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,23.00,23.00,Stable,0.00,34.55,Elevated,Incidents: 2 | Fatals: 1 | Destroyed: 1 | Avg severity: 23.00 | Top cause: Unknown | Trend: Stable,"The student pilot’s failure to attain a proper airspeed and climb attitude during takeoff, which led to the airplane exceeding its critical angle of attack and experiencing an aerodynamic stall. Contributing to the accident were the student pilot’s lack of experience and poor judgement.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained, Personnel issues - Experience/knowledge - Experience/qualifications - (general) - Student/instructed pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Student/instructed pilot",2026-04-03 04:05:44.842659+00:00,200557|200541
42,TECNAM P2008,TECNAM,P2008,AIR,REC,1.0,2,2025,2025,1,2.00,1,1,0,50.0,50.0,0.0,1,1,1,0,50.0,1.00,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,23.00,23.00,Stable,0.00,34.55,Elevated,Incidents: 2 | Fatals: 1 | Destroyed: 1 | Avg severity: 23.00 | Top cause: Unknown | Trend: Stable,The student pilot’s failure to maintain altitude and clearance from trees while maneuvering at night.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Personnel issues - Psychological - Perception/orientation/illusion - Situational awareness - Student/instructed pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Student/instructed pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Student/instructed pilot, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Effect on operation",2026-04-03 04:05:44.842659+00:00,202100|200302
43,MOONEY M20E,MOONEY,M20E,AIR,REC,1.0,2,2025,2025,1,2.00,1,1,0,50.0,50.0,0.0,1,1,1,2,50.0,1.00,0,2,0.0,Abnormal Runway Contact,Aircraft Pitch control - Incorrect use/operation,Landing,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0,0.0,21.00,21.00,Stable,0.00,33.85,Elevated,Incidents: 2 | Fatals: 1 | Destroyed: 1 | Avg severity: 21.00 | Top cause: Abnormal Runway Contact | Trend: Stable,"The pilot’s improper pitch control that resulted in a hard landing, and his improper recovery from multiple bounced landings. Contributing to the accident was the safety pilot’s delayed response to the initial bounced landing which led to the runway excursion.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Incorrect use/operation, Personnel issues - Action/decision - Action - Delayed action - Other",2026-04-03 04:05:44.842659+00:00,202172|201941
44,LANCAIR 360,LANCAIR,360,AIR,REC,1.0,2,2025,2025,1,2.00,1,1,0,50.0,50.0,0.0,1,1,0,0,50.0,1.00,0,1,0.0,Loss of Control (Inflight),,Enroute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.00,19.00,Stable,0.00,33.15,Elevated,Incidents: 2 | Fatals: 1 | Destroyed: 1 | Avg severity: 19.00 | Top cause: Loss of Control (Inflight) | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202215|200314
45,PIPER PA18,PIPER,PA18,AIR,REC,1.0,2,2025,2025,1,2.00,1,1,0,50.0,50.0,0.0,1,1,0,0,50.0,1.00,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.00,19.00,Stable,0.00,33.15,Elevated,Incidents: 2 | Fatals: 1 | Destroyed: 1 | Avg severity: 19.00 | Top cause: Unknown | Trend: Stable,The pilot’s inadvertent application of the wheel brakes after touchdown.,Aircraft - Aircraft oper/perf/capability - Aircraft capability - Braking capability - Incorrect use/operation,2026-04-03 04:05:44.842659+00:00,201865|201712
